Nome Empresa,Website,Address,Rating,Reviews,Phone,Types,Summary,Source,Search_Query,City_Scope,Keyword_Scope
West Pharmaceutical Services Brasil,https://www.westpharma.com/,"Av. Nossa Sra. das Graças, 115 - Serraria, Diadema - SP, 09962, Brazil",4.5,19.0,+55 11 4055-6000,"wholesaler, point_of_interest, health, establishment",,Google Places Advanced,"Indústria Farmacêutica in São Paulo, SP","São Paulo, SP",Indústria Farmacêutica
Bunker Indústria Farmacêutica,,"R. Aníbal dos Anjos Carvalho, 212 - Vila Santa Maria, São Paulo - SP, 04810-050, Brazil",1.8,5.0,,"pharmacy, store, point_of_interest, health, establishment",,Google Places Advanced,"Indústria Farmacêutica in São Paulo, SP","São Paulo, SP",Indústria Farmacêutica
Sanval Comércio e Indústria,,"R. Nicolau Alayon, 441 - Interlagos, São Paulo - SP, 04802-000, Brazil",2.5,8.0,+55 11 5660-4000,"point_of_interest, health, establishment",,Google Places Advanced,"Indústria Farmacêutica in São Paulo, SP","São Paulo, SP",Indústria Farmacêutica
Laboratil Farmacêutica LTDA,,"R. Luís Gonzaga de Barros Santos, 70 - Cidade Dutra, São Paulo - SP, 04810-030, Brazil",4.7,9.0,+55 11 4082-1900,"point_of_interest, health, establishment",,Google Places Advanced,"Indústria Farmacêutica in São Paulo, SP","São Paulo, SP",Indústria Farmacêutica
SP Express Distribuidora Medicamentos,,"R. Coriolano, 1894 - Lapa, São Paulo - SP, 05047-002, Brazil",4.5,2.0,+55 11 3675-5887,"wholesaler, health, point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in São Paulo, SP","São Paulo, SP",Distribuidora de Medicamentos e Correlatos
SERING Distribuidora de Produtos Farmaceuticos e Hospitalares,,"R. Joaquim Norberto, 435 - Santana, São Paulo - SP, 02301-100, Brazil",5.0,2.0,+55 11 2976-9272,"wholesaler, health, point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in São Paulo, SP","São Paulo, SP",Distribuidora de Medicamentos e Correlatos
FAMAB-M.A.S Distribuidora Hospitalar,,"Rua Don Lucas Obes, 822 - Rua 1822, 436 - Sala 01 - Ipiranga, São Paulo - SP, 04216-000, Brazil",4.8,10.0,+55 11 95120-4632,"wholesaler, health, point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in São Paulo, SP","São Paulo, SP",Distribuidora de Medicamentos e Correlatos
Dissim Distribuidora Medicamentos,,"R. Valter José Alves - Nova Mirim, Praia Grande - SP, 11707-520, Brazil",4.6,9.0,+55 13 3471-6587,"wholesaler, health, point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in São Paulo, SP","São Paulo, SP",Distribuidora de Medicamentos e Correlatos
Pró-Saúde Clube,,"Alameda Campinas, 723 - Jardim Paulista, São Paulo - SP, 01404-001, Brazil",4.4,65.0,+55 11 99109-6876,"shoe_store, point_of_interest, health, store, establishment",,Google Places Advanced,"Importadora de Produtos para Saúde in São Paulo, SP","São Paulo, SP",Importadora de Produtos para Saúde
SIMAMED DISTRIBUIDORA DE MATERIAIS MÉDICOS E DESCARTÁVEIS,,"R. João Serrano, 174 - Sítio do Morro, São Paulo - SP, 02551-060, Brazil",4.3,8.0,+55 11 2640-3383,"point_of_interest, store, establishment",,Google Places Advanced,"Importadora de Produtos para Saúde in São Paulo, SP","São Paulo, SP",Importadora de Produtos para Saúde
JA PRODUTOS MEDICOS,,"Rua Arandu, 57 - Cidade Monções, São Paulo - SP, 04563-000, Brazil",4.4,7.0,+55 11 97211-4146,"wholesaler, point_of_interest, health, establishment",,Google Places Advanced,"Importadora de Produtos para Saúde in São Paulo, SP","São Paulo, SP",Importadora de Produtos para Saúde
Ellece Logistics Ltd.,,"Estr. da Olária, 136 - Vila Pires, Guarulhos - SP, 07271-360, Brazil",4.2,1750.0,+55 11 2573-9700,"point_of_interest, establishment",,Google Places Advanced,"Logística Hospitalar in São Paulo, SP","São Paulo, SP",Logística Hospitalar
Prolab Laboratorio de Protese Dentaria,,"R. Eng. Fox, 438 - Lapa de Baixo, São Paulo - SP, 05069-020, Brazil",5.0,1.0,+55 11 3713-3880,"health, point_of_interest, establishment",,Google Places Advanced,"Laboratório de Prótese Dentária Digital in São Paulo, SP","São Paulo, SP",Laboratório de Prótese Dentária Digital
"RC Lab- Prótese Dental, Fluxo digital",,"R. Augusta, 2676 - cj 202 - Jardins, São Paulo - SP, 04113-000, Brazil",,,+55 11 96405-6239,"health, point_of_interest, establishment",,Google Places Advanced,"Laboratório de Prótese Dentária Digital in São Paulo, SP","São Paulo, SP",Laboratório de Prótese Dentária Digital
Laboratório de Prótese Dentária Jeferson Garcia,https://linktr.ee/lab.jefersongarcia,"Rua Regente León Kaniefsky, 163 - casa 2 - Vila Progredior, São Paulo - SP, 05617-030, Brazil",5.0,9.0,+55 11 3774-3608,"health, point_of_interest, establishment",,Google Places Advanced,"Laboratório de Prótese Dentária Digital in São Paulo, SP","São Paulo, SP",Laboratório de Prótese Dentária Digital
IMF Tecnologia P Saúde,,"R. Itapeva, 202 - Bela Vista, São Paulo - SP, 01043-000, Brazil",5.0,1.0,+55 11 3263-0319,"medical_lab, health, point_of_interest, establishment",,Google Places Advanced,"Empresa de Tecnologia em Saúde in São Paulo, SP","São Paulo, SP",Empresa de Tecnologia em Saúde
Touch Tecnologia e Informática Ltda,,"R. Gomes de Carvalho, 1666 - Itaim Bibi, São Paulo - SP, 04547-006, Brazil",4.8,15.0,+55 11 3846-5555,"point_of_interest, establishment",,Google Places Advanced,"Empresa de Tecnologia em Saúde in São Paulo, SP","São Paulo, SP",Empresa de Tecnologia em Saúde
health tech market,,"R. Itapeva, 574 - Bela Vista, São Paulo - SP, 01332-000, Brazil",,,+55 11 3142-9789,"hospital, health, point_of_interest, establishment",,Google Places Advanced,"Healthtech in São Paulo, SP","São Paulo, SP",Healthtech
Cotech Saúde,,"Av. Brig. Faria Lima, 1572 - Itaim Bibi, São Paulo - SP, 01451-917, Brazil",5.0,2.0,+55 18 98107-9148,"consultant, health, point_of_interest, establishment",,Google Places Advanced,"Healthtech in São Paulo, SP","São Paulo, SP",Healthtech
GL Health Tech,,"Av. Paulista - Bela Vista, São Paulo - SP, 01310-200, Brazil",,,+55 16 99752-0373,"consultant, health, point_of_interest, establishment",,Google Places Advanced,"Healthtech in São Paulo, SP","São Paulo, SP",Healthtech
Tech2h,,"R. Funchal, 538 - Itaim Bibi, São Paulo - SP, 04551-060, Brazil",,,+55 11 3045-6873,"hospital, health, point_of_interest, establishment",,Google Places Advanced,"Healthtech in São Paulo, SP","São Paulo, SP",Healthtech
Kmed a Serviço da Saude,,"R. Ubaldino do Amaral, 14 - Lapa, Rio de Janeiro - RJ, 20231-016, Brazil",4.5,14.0,+55 21 2507-1854,"store, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Equipamentos Médicos
Universo,,"Estrada do Galeão, 2500 - Bloco A, Loja G - Portuguesa, Rio de Janeiro - RJ, 21931-582, Brazil",5.0,69.0,+55 21 96404-1284,"store, point_of_interest, health, establishment",,Google Places Advanced,"Indústria de Materiais Hospitalares in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Indústria de Materiais Hospitalares
Odonto Bondi,,"Rua Siqueira Campos, 143 - 2º piso loja 84 - Copacabana, Rio de Janeiro - RJ, 22031-071, Brazil",5.0,25.0,+55 21 2255-2575,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Produtos Odontológicos
GFTEC,,"Estr. do Guandú do Sena, 268 - Campo Grande, Rio de Janeiro - RJ, 23097-220, Brazil",5.0,21.0,+55 21 98164-7937,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Produtos Odontológicos
S.I.N. Implant System,https://www.sinimplantsystem.com.br/,"Praia do Flamengo, 154 - Sala 204 - Flamengo, Rio de Janeiro - RJ, 22210-030, Brazil",4.6,69.0,+55 21 2148-6665,"store, dentist, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Implantes Dentários
SobreImplantes,,"R. Ten. Cleto Campelo, 41 - Jardim Carioca, Rio de Janeiro - RJ, 21910-340, Brazil",4.4,7.0,+55 21 2467-4587,"point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Implantes Dentários
ILHA IMPLANTES,,"R. República Árabe da Síria, 363 - SALA 205 - Portuguesa, Rio de Janeiro - RJ, 21931-570, Brazil",5.0,2.0,+55 21 2462-5128,"dentist, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Implantes Dentários
MS Instrumentos Industriais,http://www.msinstrumentos.com.br/,"Estr. do Biguá, 43 - Alto da Boa Vista, Rio de Janeiro - RJ, 20531-680, Brazil",5.0,8.0,+55 21 99132-5189,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Instrumentos Cirúrgicos
MEDLIX PRODUTOS CIRÚRGICOS,http://medlix.com.br/,"Av. Evandro Lins e Silva, 840 - Sala 2011 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-470, Brazil",5.0,1.0,+55 21 2422-4152,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Instrumentos Cirúrgicos
Oxlab,https://oxlab.com.br/,"R. Barão de Mesquita, 280 - Loja G - Tijuca, Rio de Janeiro - RJ, 20540-003, Brazil",5.0,17.0,+55 21 97675-2450,"store, health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Instrumentos Cirúrgicos
Laboratório de prótese - protético,,"Av. Canal, 392 - Maré, Rio de Janeiro - RJ, 21032-000, Brazil",5.0,10.0,+55 21 97394-9669,"point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Próteses in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Próteses
Dental Prosthesis Laboratory,,"R. Figueiredo de Magalhães, 286 - Copacabana, Rio de Janeiro - RJ, 22031-010, Brazil",4.3,3.0,+55 21 2236-3273,"point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Próteses in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Próteses
Laboratório de Prótese,,"R. Hilário de Gouveia, 66 - Copacabana, Rio de Janeiro - RJ, 22040-020, Brazil",,,+55 21 2256-7153,"point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Próteses in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Próteses
ARTEZAHN LABORATÓRIO DE PRÓTESE,,"Av. Pres. Vargas, 482 - sala 825 - Centro, Rio de Janeiro - RJ, 20071-000, Brazil",1.0,1.0,+55 21 96710-1341,"point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Próteses in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Próteses
Laboratório de protese dentária,,"R. Lucídio Lago, 96 - sala 213 - Méier, Rio de Janeiro - RJ, 20780-020, Brazil",,,+55 21 98741-6775,"dentist, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Próteses in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Próteses
ideal Bequem,http://idealbequem.com/,"R. Ana Neri, 612 - São Francisco Xavier, Rio de Janeiro - RJ, 20960-003, Brazil",4.7,10.0,+55 21 2501-5055,"hospital, health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Móveis Hospitalares in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Móveis Hospitalares
Camas Hospitalares Staib,,"R. Ana Neri, 612 - Sampaio, Rio de Janeiro - RJ, 20960-003, Brazil",4.0,4.0,,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Móveis Hospitalares in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Fabricante de Móveis Hospitalares
Pinus Indústria Química e Farmacêutica,,"R. André Rocha, 2330 - Jacarepaguá, Rio de Janeiro - RJ, 22710-561, Brazil",5.0,1.0,+55 21 2427-3004,"point_of_interest, establishment",,Google Places Advanced,"Indústria Farmacêutica in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Indústria Farmacêutica
Sociedade Farmacêutica Henfer,,"R. Pesqueira, 68 - Bonsucesso, Rio de Janeiro - RJ, 21041-150, Brazil",5.0,1.0,+55 21 2564-8491,"health, point_of_interest, establishment",,Google Places Advanced,"Indústria Farmacêutica in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Indústria Farmacêutica
AllPharma Indústria Farmacêutica,,"Av. Senador Doutor Durval Cruz, S/N - Qd. 6 Lotes 13, 14 e 15 - Serra de Mato Grosso, Saquarema - RJ, 28997-670, Brazil",5.0,3.0,,"health, point_of_interest, establishment",,Google Places Advanced,"Indústria Farmacêutica in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Indústria Farmacêutica
Comércio e Indústria Farmos Ltda.,,"R. Souto Carvalho, 52 - Engenho Novo, Rio de Janeiro - RJ, 20950-310, Brazil",4.7,3.0,+55 21 2261-2605,"point_of_interest, establishment",,Google Places Advanced,"Indústria Farmacêutica in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Indústria Farmacêutica
Microbiológica Química e Farmacêutica Ltda,,"Est. Arroio Pavuna, 600 - Anil, Rio de Janeiro - RJ, 22775-015, Brazil",5.0,1.0,+55 21 2445-2288,"health, point_of_interest, establishment",,Google Places Advanced,"Indústria Farmacêutica in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Indústria Farmacêutica
Soluções Farmacêuticas - RJ,,"Av. Embaixador Abelardo Bueno, 1111 - sl 117 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-039, Brazil",5.0,7.0,+55 21 99504-6081,"wholesaler, health, point_of_interest, establishment",,Google Places Advanced,"Indústria Farmacêutica in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Indústria Farmacêutica
Novaaxys Farmacêutica Ltda.,,"Rua Matinoré, 457 - Jacaré, Rio de Janeiro - RJ, 20975-100, Brazil",4.3,4.0,+55 21 2501-4507,"health, point_of_interest, establishment",,Google Places Advanced,"Indústria Farmacêutica in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Indústria Farmacêutica
Instituto de Tecnologia em Fármacos Farmanguinhos,,"Av. Cmte. Guaranys, 447 - Jacarepaguá, Rio de Janeiro - RJ, 22775-903, Brazil",4.6,196.0,+55 21 3348-5050,"point_of_interest, establishment",,Google Places Advanced,"Indústria Farmacêutica in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Indústria Farmacêutica
TRIO DISTRIBUIDORA DE MEDICAMENTOS,,"Rua Álvaro Alvim, 24 - 503 - Cinelândia, Rio de Janeiro - RJ, 20031-010, Brazil",5.0,4.0,+55 21 97240-4751,"wholesaler, point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Distribuidora de Medicamentos e Correlatos
Stock Rio / Distribuidora de Produtos Farmacêuticos / Medicamentos em Geral / Rio de Janeiro,,"R. Miraluz, 261 - Higienópolis, Rio de Janeiro - RJ, 21061-040, Brazil",5.0,5.0,+55 21 2427-6963,"point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Distribuidora de Medicamentos e Correlatos
Jacques Med Distribuidora de Medicamentos e Material Hospitalar LTDA,,"Rua Coronel João Olintho, 918 - LOJA B - Recreio dos Bandeirantes, Rio de Janeiro - RJ, 22790-170, Brazil",5.0,4.0,+55 21 3557-7722,"wholesaler, health, point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Distribuidora de Medicamentos e Correlatos
Santa Cruz Distribuidora De Medicamentos,,"Av Litorânea, 2250 - Parque Beira Mar, Duque de Caxias - RJ, 25085-220, Brazil",3.9,128.0,,"point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Distribuidora de Medicamentos e Correlatos
Jacques Med Distribuidora de Medicamentos e Material Hospitalar LTDA (Matriz),,"Rua Marechal Floriano, 213 - Parque Duque, Duque de Caxias - RJ, 25075-025, Brazil",5.0,1.0,+55 21 3563-4888,"wholesaler, health, point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Distribuidora de Medicamentos e Correlatos
elohim distribuidora de medicamentos ltda,,"Av. Governador Leonel de Moura Brizola - Parque Muisa, Duque de Caxias - RJ, 25046-100, Brazil",,,+55 21 3659-1705,"wholesaler, health, point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Distribuidora de Medicamentos e Correlatos
FARMAPOINT COMERCIO DE MEDICAMENTOS E MATERIAIS HOSPITALARES ( FP GROUP ),,"R. João Bruno Lobo, 148 - Curicica, Rio de Janeiro - RJ, 20780-806, Brazil",5.0,3.0,+55 21 99213-9856,"wholesaler, health, point_of_interest, establishment",,Google Places Advanced,"Distribuidora de Medicamentos e Correlatos in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Distribuidora de Medicamentos e Correlatos
Rio Center Distribuidora,,"R. Francisco Siqueira, 160 - Inhaúma, Rio de Janeiro - RJ, 20765-270, Brazil",4.0,10.0,+55 21 2596-2120,"wholesaler, point_of_interest, health, establishment",,Google Places Advanced,"Importadora de Produtos para Saúde in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Importadora de Produtos para Saúde
Amazonas House - Cleaning Material,,"R. Leandro Martins - Centro, Rio de Janeiro - RJ, 20080-070, Brazil",5.0,2.0,+55 21 3232-7777,"point_of_interest, establishment",,Google Places Advanced,"Importadora de Produtos para Saúde in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Importadora de Produtos para Saúde
Inti e Você Artesanato Distribuidora de Incensos,,"R. da Alfândega, 189 - Sobrado - Centro, Rio de Janeiro - RJ, 20070-005, Brazil",4.7,156.0,+55 21 2507-1511,"store, point_of_interest, establishment",,Google Places Advanced,"Importadora de Produtos para Saúde in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Importadora de Produtos para Saúde
Laboratório de prótese Digital N.S,,"Ladeira do Leme - Copacabana, Rio de Janeiro - RJ, 22290-130, Brazil",5.0,14.0,+55 21 96438-0643,"point_of_interest, health, establishment",,Google Places Advanced,"Laboratório de Prótese Dentária Digital in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Laboratório de Prótese Dentária Digital
Protético bom®,,"R. Matisia, 113 - frente - Parque Anchieta, Rio de Janeiro - RJ, 21620-470, Brazil",5.0,174.0,,"point_of_interest, health, establishment",,Google Places Advanced,"Laboratório de Prótese Dentária Digital in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Laboratório de Prótese Dentária Digital
Laboratório De Prótese Dentária Digital Frank Piñon,,"R. Noronha Torrezão, 24 - Sala 1102 - Santa Rosa, Niterói - RJ, 24240-182, Brazil",4.3,3.0,+55 21 97220-2626,"point_of_interest, health, establishment",,Google Places Advanced,"Laboratório de Prótese Dentária Digital in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Laboratório de Prótese Dentária Digital
Laboratório Protaux - próteses dentárias,,"R. Nova Lourdes - Campo Grande, Rio de Janeiro - RJ, 23090-230, Brazil",5.0,1.0,+55 21 96448-3313,"point_of_interest, health, establishment",,Google Places Advanced,"Laboratório de Prótese Dentária Digital in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Laboratório de Prótese Dentária Digital
Laboratório de prótese MF Dental Studio,,"Estr. do Itanhangá, 483 - Itanhangá, Rio de Janeiro - RJ, 22753-005, Brazil",,,+55 21 4108-2035,"point_of_interest, health, establishment",,Google Places Advanced,"Laboratório de Prótese Dentária Digital in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Laboratório de Prótese Dentária Digital
Kurdian Prótese Dental (só pata dentistas),,"R. Caruaru, 220 - Casa 1 - Grajaú, Rio de Janeiro - RJ, 20560-215, Brazil",4.6,9.0,+55 21 98894-8087,"point_of_interest, health, establishment",,Google Places Advanced,"Laboratório de Prótese Dentária Digital in Rio de Janeiro, RJ","Rio de Janeiro, RJ",Laboratório de Prótese Dentária Digital
